Tiempo,Min_D,Max_D,Media_D,Mediana_D,Min_E,Max_E,Media_E,Mediana_E
175.241,2.307177,7.015837,3.428827,3.395459,2.307177,7.015837,3.428827,3.395459
190.3942,2.374542,5.01989,3.386119,3.404074,2.374542,5.01989,3.386119,3.404074
166.561,1.932709,4.415397,3.27667,3.284675,1.932709,4.415397,3.27667,3.284675
