Tiempo,Min_D,Max_D,Media_D,Mediana_D,Min_E,Max_E,Media_E,Mediana_E
150,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0
150,0.01591158,16.56403,1.093922,0.7239404,0.01591158,16.56403,1.093922,0.7239404
